Date,Open,High,Low,Close,Volume
25-08-2017,134.50,134.50,134.50,134.50,0
24-08-2017,135.40,135.40,134.60,134.60,100
23-08-2017,135.60,135.60,135.60,135.60,0
22-08-2017,135.70,135.70,135.70,135.70,0
21-08-2017,134.10,134.10,132.65,132.65,80
18-08-2017,134.50,135.35,134.50,135.35,30
17-08-2017,135.75,135.75,135.75,135.75,0
16-08-2017,138.50,138.50,138.35,138.35,100
14-08-2017,135.40,135.40,135.40,135.40,0
11-08-2017,131.80,133.75,131.15,133.50,135
10-08-2017,137.00,137.00,134.85,134.85,10
09-08-2017,137.00,137.00,135.85,135.85,33
08-08-2017,134.55,137.45,134.35,137.45,48
07-08-2017,133.95,133.95,133.95,133.95,0
04-08-2017,0.00,0.00,0.00,132.70,0
03-08-2017,132.70,132.70,132.70,132.70,20
02-08-2017,134.45,134.45,132.60,132.60,80
01-08-2017,125.95,125.95,125.95,125.95,10
31-07-2017,128.10,128.10,128.10,128.10,127
28-07-2017,127.25,129.80,127.25,127.25,350
27-07-2017,131.50,131.50,131.30,131.50,15
26-07-2017,131.85,131.85,131.85,131.85,0
25-07-2017,131.65,131.65,130.55,131.65,570
24-07-2017,128.90,129.55,128.90,129.55,53
21-07-2017,128.70,129.00,128.70,128.70,40
20-07-2017,129.25,129.25,129.25,129.25,0
19-07-2017,130.78,130.78,130.40,130.78,10
18-07-2017,129.00,129.00,129.00,129.00,0
17-07-2017,130.90,131.40,130.40,130.90,30
14-07-2017,128.93,129.10,128.93,128.93,60
13-07-2017,129.03,129.03,129.03,129.03,0
12-07-2017,127.35,127.35,127.35,127.35,0
11-07-2017,126.70,127.20,126.70,126.70,14
10-07-2017,127.05,128.50,127.00,127.05,106
07-07-2017,126.45,126.60,126.45,126.45,20
06-07-2017,125.45,127.10,125.45,125.45,10
05-07-2017,126.65,126.65,126.30,126.65,2
04-07-2017,126.45,126.45,126.45,126.45,0
03-07-2017,126.73,127.30,126.73,126.73,25
30-06-2017,126.45,126.45,125.30,126.45,54
29-06-2017,125.33,127.20,125.33,125.33,5
28-06-2017,127.63,127.63,126.00,127.63,229
27-06-2017,128.98,129.80,128.98,128.98,30
26-06-2017,130.10,131.20,130.10,130.10,48
23-06-2017,130.63,130.63,130.63,130.63,0
22-06-2017,130.30,130.30,130.30,130.30,0
21-06-2017,130.58,130.58,130.58,130.58,0
20-06-2017,130.55,131.95,130.55,130.55,171
19-06-2017,130.68,130.68,127.90,130.68,136
16-06-2017,128.15,129.80,128.15,128.15,65
14-06-2017,129.20,131.40,129.00,129.20,154
13-06-2017,130.15,130.70,130.15,130.15,34
12-06-2017,129.75,133.00,129.75,129.75,76
09-06-2017,137.55,138.20,137.55,137.55,20
08-06-2017,138.13,139.20,138.13,138.13,150
07-06-2017,138.13,138.13,138.13,138.13,0
06-06-2017,136.93,137.00,136.80,136.93,144
02-06-2017,136.33,136.33,136.33,136.33,0
01-06-2017,136.13,136.20,136.13,136.13,60
31-05-2017,136.18,137.45,136.18,136.18,30
30-05-2017,137.58,138.40,137.58,137.58,583
29-05-2017,137.68,137.68,137.68,137.68,0
26-05-2017,0.00,0.00,0.00,137.03,0
24-05-2017,137.03,137.80,137.03,137.03,25
23-05-2017,137.03,137.03,137.03,137.03,0
